,Provinsi,tahun,penduduk_ribu_jiwa,PDRB,persentase_sanitasi_layak,persentase_pengangguran,persentase_lulus_sma,jalan_negara,jalan_provinsi,jalan_kabupaten_kota,panjang_total,harapan_lama_sekolah,persentase_air_bersih,persentase_rumah_layak,angka_harapan_hidup,pengeluaran_perkapita,persentase penduduk_miskin
0,aceh,2015-01-01,5018683,129092.66,54.16,8.83,68.16,2102.0,1782.0,18926.0,22810.0,13.73,61.23,88.96,69.5,8533.0,17.095
1,aceh,2016-01-01,5094495,136843.82,61.02,7.8500000000000005,74.46,2102.0,1782.0,18926.0,22810.0,13.89,63.31,90.91,69.51,8768.0,16.58
2,aceh,2017-01-01,5169430,145806.92,62.92,6.98,70.64,2102.0,1782.0,20135.0,24019.0,14.13,64.85,92.01,69.52,8957.0,16.405
3,aceh,2018-01-01,5243406,155910.98,67.09,6.4399999999999995,70.68,2102.0,1782.0,20031.0,23915.0,14.27,66.48,93.38,69.64,9186.0,15.825
4,aceh,2019-01-01,5316306,164162.98,73.16,5.825,69.96,2102.0,1782.0,20013.0,23897.0,14.3,85.81,57.41,69.87,9603.0,15.165
5,aceh,2020-01-01,5388079,166372.32,77.06,5.995,70.07,2102.0,1782.0,19748.0,23632.0,14.31,87.66,63.21,69.93,9492.0,15.21
6,aceh,2021-01-01,5459099,184978.75,77.55,6.3,74.36,2102.0,1782.0,19766.0,23650.0,14.36,88.79,64.43,69.96,9572.0,15.43
7,aceh,2022-01-01,5529758,211750.02,77.48,6.07,70.67,2112.0,1782.0,19766.0,23660.0,14.37,89.7,64.18,70.18,9963.0,14.695
8,aceh,2023-01-01,5599935,,,,,,,,,,,,,,
9,aceh,2024-01-01,5669589,,,,,,,,,,,,,,
10,aceh,2025-01-01,5738619,,,,,,,,,,,,,,
11,aceh,2026-01-01,5806977,,,,,,,,,,,,,,
12,aceh,2027-01-01,5874627,,,,,,,,,,,,,,
13,aceh,2028-01-01,5941505,,,,,,,,,,,,,,
14,aceh,2029-01-01,6007528,,,,,,,,,,,,,,
15,aceh,2030-01-01,6072623,,,,,,,,,,,,,,
16,bali,2015-01-01,4148380,176412.67,84.99,1.6800000000000002,69.08,1370.5,1262.5,13377.5,16010.5,12.97,91.27,98.7,71.35,13078.0,4.995
17,bali,2016-01-01,4202402,194089.58,88.74,2.005,73.65,629.0,743.0,6989.0,8361.0,13.04,88.71,98.97,71.41,13279.0,4.2
18,bali,2017-01-01,4256006,213035.86,90.07,1.38,74.62,629.0,743.0,7306.0,8678.0,13.21,90.85,99.29,71.46,13573.0,4.195
19,bali,2018-01-01,4309221,233636.77,91.14,1.14,78.67,629.0,743.0,7350.0,8722.0,13.23,90.9,99.03,71.68,13886.0,3.96
20,bali,2019-01-01,4362028,251934.1,94.59,1.395,64.52,629.0,743.0,7386.0,8758.0,13.27,96.84,77.24,71.99,14146.0,3.7
21,bali,2020-01-01,4414413,224225.72,95.01,3.44,74.88,629.0,743.0,7433.0,8805.0,13.33,97.36,77.05,72.13,13929.0,4.115
22,bali,2021-01-01,4466575,220467.45,95.95,5.395,75.86,629.0,743.0,7415.0,8787.0,13.4,97.56,78.47,72.24,13820.0,4.625
23,bali,2022-01-01,4518659,245233.24,95.94,4.82,76.59,590.0,743.0,7425.0,8758.0,13.48,98.42,81.65,72.6,13942.0,4.550000000000001
24,bali,2023-01-01,4570662,,,,,,,,,,,,,,
25,bali,2024-01-01,4622524,,,,,,,,,,,,,,
26,bali,2025-01-01,4674196,,,,,,,,,,,,,,
27,bali,2026-01-01,4725592,,,,,,,,,,,,,,
28,bali,2027-01-01,4776596,,,,,,,,,,,,,,
29,bali,2028-01-01,4827144,,,,,,,,,,,,,,
30,bali,2029-01-01,4877133,,,,,,,,,,,,,,
31,bali,2030-01-01,4926471,,,,,,,,,,,,,,
32,banten,2015-01-01,11967539,479300.44,66.24,9.065000000000001,52.95,577.5,737.5,6547.5,7862.5,12.35,67.68,93.17,69.43,11261.0,5.825
33,banten,2016-01-01,12157207,517898.34,72.92,8.435,60.83,565.0,732.0,5670.0,6967.0,12.7,67.47,95.36,69.46,11469.0,5.390000000000001
34,banten,2017-01-01,12345030,563597.7,71.12,8.515,59.87,565.0,762.0,5600.0,6927.0,12.78,66.11,96.71,69.49,11659.0,5.52
35,banten,2018-01-01,12530800,613804.41,70.65,8.095,67.54,565.0,762.0,4373.0,5700.0,12.85,72.83,96.93,69.64,11994.0,5.245
36,banten,2019-01-01,12714279,661321.34,81.01,7.83,56.94,565.0,762.0,4390.0,5717.0,12.88,91.64,56.92,69.84,12267.0,5.015000000000001
37,banten,2020-01-01,12895239,625895.38,82.0,9.315000000000001,64.24,565.0,762.0,4385.0,5712.0,12.89,92.87,56.21,69.96,11964.0,6.275
38,banten,2021-01-01,13074169,665887.47,82.89,8.995000000000001,66.9,565.0,762.0,4385.0,5712.0,13.02,93.51,60.78,70.02,12033.0,6.58
39,banten,2022-01-01,13251510,747250.29,85.12,8.309999999999999,66.02,568.0,762.0,4385.0,5715.0,13.05,92.71,60.98,70.39,12216.0,6.2
40,banten,2023-01-01,13427048,,,,,,,,,,,,,,
41,banten,2024-01-01,13600549,,,,,,,,,,,,,,
42,banten,2025-01-01,13771802,,,,,,,,,,,,,,
43,banten,2026-01-01,13940794,,,,,,,,,,,,,,
44,banten,2027-01-01,14107576,,,,,,,,,,,,,,
45,banten,2028-01-01,14271953,,,,,,,,,,,,,,
46,banten,2029-01-01,14433713,,,,,,,,,,,,,,
47,banten,2030-01-01,14592688,,,,,,,,,,,,,,
48,bengkulu,2015-01-01,1875922,50334.02,38.96,4.0600000000000005,55.94,680.5,1162.5,5633.0,7476.0,13.18,41.08,90.04,68.5,9123.0,17.52
49,bengkulu,2016-01-01,1900654,55384.17,49.45,3.57,64.31,793.0,1563.0,6881.0,9237.0,13.38,37.35,90.88,68.56,9492.0,17.175
50,bengkulu,2017-01-01,1924889,60657.68,42.54,3.2750000000000004,62.57,793.0,1563.0,6840.0,9196.0,13.57,43.83,92.68,68.59,9778.0,16.02
51,bengkulu,2018-01-01,1948605,66402.99,44.31,2.99,58.86,793.0,1563.0,6883.0,9239.0,13.58,49.37,93.7,68.84,10162.0,15.42
52,bengkulu,2019-01-01,1971764,72098.24,75.91,2.835,61.47,793.0,1563.0,6883.0,9239.0,13.59,57.6,41.73,69.21,10409.0,15.07
53,bengkulu,2020-01-01,1994346,73305.27,78.1,3.575,62.73,793.0,1563.0,6835.0,9191.0,13.61,62.47,47.94,69.35,10380.0,15.165
54,bengkulu,2021-01-01,2016433,79602.64,79.81,3.685,62.46,793.0,1563.0,6835.0,9191.0,13.67,67.39,51.36,69.42,10487.0,14.825
55,bengkulu,2022-01-01,2038142,90111.95,79.58,3.49,64.88,782.0,1563.0,6883.0,9228.0,13.68,73.07,54.98,69.69,10840.0,14.48
56,bengkulu,2023-01-01,2059417,,,,,,,,,,,,,,
57,bengkulu,2024-01-01,2080240,,,,,,,,,,,,,,
58,bengkulu,2025-01-01,2100583,,,,,,,,,,,,,,
59,bengkulu,2026-01-01,2120407,,,,,,,,,,,,,,
60,bengkulu,2027-01-01,2139715,,,,,,,,,,,,,,
61,bengkulu,2028-01-01,2158457,,,,,,,,,,,,,,
62,bengkulu,2029-01-01,2176633,,,,,,,,,,,,,,
63,bengkulu,2030-01-01,2194225,,,,,,,,,,,,,,
64,di yogyakarta,2015-01-01,3669149,101440.52,86.03,4.07,80.77,515.0,1091.0,4896.0,6502.0,15.03,80.99,98.77,74.68,12684.0,14.035
65,di yogyakarta,2016-01-01,3718481,109962.35,85.6,2.765,79.95,248.0,619.0,2909.0,3776.0,15.23,81.04,98.42,74.71,13229.0,13.219999999999999
66,di yogyakarta,2017-01-01,3768182,119128.72,89.14,2.9299999999999997,85.53,248.0,760.0,3369.0,4377.0,15.42,77.19,99.18,74.74,13521.0,12.69
67,di yogyakarta,2018-01-01,3818211,129818.36,88.92,3.185,81.96,248.0,760.0,3362.0,4370.0,15.56,80.62,99.46,74.82,13946.0,11.97
68,di yogyakarta,2019-01-01,3868531,141047.69,94.67,3.035,84.54,248.0,783.0,3330.0,4361.0,15.58,94.94,81.61,74.92,14394.0,11.57
69,di yogyakarta,2020-01-01,3919138,138117.84,96.96,3.975,87.99,248.0,760.0,3330.0,4338.0,15.59,96.02,86.19,74.99,14015.0,12.54
70,di yogyakarta,2021-01-01,3970159,149408.4,97.12,4.42,90.12,248.0,760.0,3330.0,4338.0,15.64,95.69,85.15,75.04,14111.0,12.355
71,di yogyakarta,2022-01-01,4021753,165690.21,96.21,3.8949999999999996,87.92,307.0,760.0,3382.0,4449.0,15.65,96.5,84.94,75.08,14482.0,11.415
72,di yogyakarta,2023-01-01,4073842,,,,,,,,,,,,,,
73,di yogyakarta,2024-01-01,4126378,,,,,,,,,,,,,,
74,di yogyakarta,2025-01-01,4179264,,,,,,,,,,,,,,
75,di yogyakarta,2026-01-01,4232399,,,,,,,,,,,,,,
76,di yogyakarta,2027-01-01,4285648,,,,,,,,,,,,,,
77,di yogyakarta,2028-01-01,4338908,,,,,,,,,,,,,,
78,di yogyakarta,2029-01-01,4392119,,,,,,,,,,,,,,
79,di yogyakarta,2030-01-01,4445218,,,,,,,,,,,,,,
80,dki jakarta,2015-01-01,10178942,1989088.75,88.39,7.795,74.1,180.0,3900.5,1691.0,5771.5,12.59,93.4,99.25,72.43,17075.0,3.77
81,dki jakarta,2016-01-01,10265267,2159073.6,90.42,5.945,74.74,53.0,7041.0,0.0,7094.0,12.73,92.44,99.49,72.49,17468.0,3.75
82,dki jakarta,2017-01-01,10348331,2365353.85,90.37,6.25,78.25,53.0,6679.0,0.0,6732.0,12.86,88.93,99.49,72.55,17707.0,3.775
83,dki jakarta,2018-01-01,10427981,2592606.57,90.73,6.19,83.48,53.0,6679.0,0.0,6732.0,12.95,89.59,99.36,72.67,18128.0,3.5599999999999996
84,dki jakarta,2019-01-01,10504035,2815636.16,92.89,6.02,84.35,53.0,6432.0,0.0,6485.0,12.97,99.82,34.25,72.79,18527.0,3.4450000000000003
85,dki jakarta,2020-01-01,10576393,2767273.49,93.04,8.05,85.67,53.0,6432.0,0.0,6485.0,12.98,99.84,33.18,72.91,18227.0,4.61
86,dki jakarta,2021-01-01,10645513,2912563.13,95.17,8.504999999999999,84.98,53.0,6432.0,0.0,6485.0,13.07,99.86,40.0,73.01,18520.0,4.695
87,dki jakarta,2022-01-01,10711777,3186469.91,92.79,7.59,87.71,53.0,0.0,6432.0,6485.0,13.08,97.93,36.23,73.32,18927.0,4.65
88,dki jakarta,2023-01-01,10775046,,,,,,,,,,,,,,
89,dki jakarta,2024-01-01,10835111,,,,,,,,,,,,,,
90,dki jakarta,2025-01-01,10891835,,,,,,,,,,,,,,
91,dki jakarta,2026-01-01,10944982,,,,,,,,,,,,,,
92,dki jakarta,2027-01-01,10994253,,,,,,,,,,,,,,
93,dki jakarta,2028-01-01,11039585,,,,,,,,,,,,,,
94,dki jakarta,2029-01-01,11080857,,,,,,,,,,,,,,
95,dki jakarta,2030-01-01,11117981,,,,,,,,,,,,,,
96,gorontalo,2015-01-01,1133615,28493.42,54.47,3.8550000000000004,44.67,401.0,216.5,5398.0,6015.5,12.7,66.47,86.76,67.12,9035.0,18.240000000000002
97,gorontalo,2016-01-01,1144760,31697.56,59.38,3.32,50.79,749.0,433.0,4364.0,5546.0,12.88,71.59,91.16,67.13,9175.0,17.674999999999997
98,gorontalo,2017-01-01,1155597,34537.68,58.62,3.965,55.3,749.0,467.0,4279.0,5495.0,13.01,75.0,92.11,67.14,9532.0,17.395
99,gorontalo,2018-01-01,1166139,37731.39,64.3,3.54,52.39,749.0,467.0,4323.0,5539.0,13.03,78.99,93.85,67.45,9839.0,16.32
100,gorontalo,2019-01-01,1176367,41145.45,74.57,3.505,50.87,749.0,467.0,4297.0,5513.0,13.06,94.19,62.26,67.93,10075.0,15.415
101,gorontalo,2020-01-01,1186259,41729.89,75.68,3.785,55.35,749.0,467.0,4290.0,5506.0,13.08,94.16,65.42,68.07,10020.0,15.405000000000001
