,Provinsi,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,Aceh,5018683,5094495,5169430,5243406,5316306,5388079,5459099,5529758,5599935,5669589,5738619,5806977,5874627,5941505,6007528,6072623
1,Bali,4148380,4202402,4256006,4309221,4362028,4414413,4466575,4518659,4570662,4622524,4674196,4725592,4776596,4827144,4877133,4926471
2,Banten,11967539,12157207,12345030,12530800,12714279,12895239,13074169,13251510,13427048,13600549,13771802,13940794,14107576,14271953,14433713,14592688
3,Bengkulu,1875922,1900654,1924889,1948605,1971764,1994346,2016433,2038142,2059417,2080240,2100583,2120407,2139715,2158457,2176633,2194225
4,DI YOGYAKARTA,3669149,3718481,3768182,3818211,3868531,3919138,3970159,4021753,4073842,4126378,4179264,4232399,4285648,4338908,4392119,4445218
5,DKI Jakarta,10178942,10265267,10348331,10427981,10504035,10576393,10645513,10711777,10775046,10835111,10891835,10944982,10994253,11039585,11080857,11117981
6,Gorontalo,1133615,1144760,1155597,1166139,1176367,1186259,1195881,1205339,1214585,1223636,1232463,1241040,1249391,1257472,1265299,1272863
7,Jambi,3403890,3445914,3487001,3527109,3566191,3604180,3641271,3677671,3713302,3748129,3782094,3815145,3847226,3878314,3908369,3937359
8,Jawa Barat,46805063,47365647,47922692,48475356,49022994,49564991,50103066,50638962,51171928,51701245,52226219,52745318,53257026,53760554,54255030,54739628
9,Jawa Tengah,33728668,33946159,34156122,34358216,34552248,34737951,34916735,35090063,35257818,35419753,35575622,35724763,35866577,36000907,36127520,36246126
10,Jawa Timur,38784068,39041197,39287097,39521647,39744586,39955676,40156392,40348148,40530647,40703512,40866198,41017789,41157508,41285181,41400607,41503752
11,Kalimantan Barat,4795449,4859867,4923118,4985113,5045734,5104890,5162928,5220201,5276662,5332206,5386757,5440214,5492527,5543644,5593519,5642107
12,Kalimantan Selatan,3990714,4049529,4106751,4162359,4216308,4268603,4319787,4370437,4420505,4469982,4518883,4567127,4614666,4661510,4707646,4753078
13,Kalimantan Tengah,2497334,2536339,2574792,2612624,2649801,2686250,2722165,2757693,2792787,2827446,2861592,2895177,2928184,2960556,2992269,3023281
14,Kalimantan Timur,3431312,3479567,3527076,3573801,3619676,3664669,3708932,3752601,3795631,3837943,3879503,3920277,3960207,3999239,4037328,4074411
15,Kalimantan Utara,644527,657250,670002,682782,695561,708350,721180,734111,747124,760220,773375,786576,799798,813030,826269,839487
16,KEPULAUAN BANGKA BELITUNG,1373250,1393132,1412744,1432081,1451097,1469806,1488243,1506501,1524563,1542387,1559967,1577280,1594269,1610927,1627234,1643163
17,KEPULAUAN RIAU,1982804,2045341,2109370,2174812,2241567,2309526,2378793,2449419,2521302,2594365,2668534,2743786,2820143,2897572,2975996,3055335
18,Lampung,8122949,8210295,8295247,8377699,8457581,8534822,8609854,8683135,8754537,8823994,8891429,8956651,9019480,9079834,9137641,9192825
19,Maluku,1690346,1710397,1730149,1749525,1768506,1787085,1805374,1823516,1841488,1859251,1876783,1894080,1911139,1927935,1944447,1960644
20,Maluku Utara,1167091,1184462,1201700,1218776,1235657,1252314,1268865,1285372,1301834,1318211,1334504,1350673,1366709,1382584,1398279,1413787
21,NUSA TENGGARA BARAT,4846677,4924751,5001760,5077675,5152409,5225907,5298463,5370293,5441318,5511464,5580729,5648977,5716163,5782244,5847197,5911032
22,NUSA TENGGARA TIMUR,5126107,5204696,5282741,5360248,5437157,5513390,5588732,5662936,5735947,5807678,5878062,5947309,6015646,6083054,6149481,6214888
23,Papua,3153814,3203430,3252237,3300149,3347124,3393073,3438241,3482889,3526954,3570347,3613021,3654948,3696090,3736427,3775889,3814422
24,Papua Barat,876024,897566,919364,941392,963612,986023,1008698,1031676,1054964,1078509,1102312,1126368,1150638,1175100,1199742,1224538
25,Riau,6356717,6478396,6598719,6717605,6835090,6951209,7066456,7181292,7295819,7410220,7524696,7639373,7754253,7869383,7984797,8100611
26,Sulawesi Barat,1281688,1301361,1320850,1340138,1359227,1378107,1396747,1415128,1433231,1451055,1468570,1485824,1502871,1519708,1536288,1552626
27,Sulawesi Selatan,8520806,8598571,8674337,8748017,8819512,8888723,8956140,9022232,9086950,9150226,9212007,9272107,9330326,9386679,9441105,9493621
28,Sulawesi Tengah,2878005,2919792,2961118,3001906,3042120,3081715,3120857,3159743,3198314,3236554,3274416,3311901,3349053,3385817,3422218,3458228
29,Sulawesi Tenggara,2502678,2543106,2583436,2623625,2663654,2703461,2743149,2782876,2822606,2862278,2901828,2941166,2980230,3018968,3057322,3095250
30,Sulawesi Utara,2409740,2432182,2453737,2474383,2494124,2512931,2530956,2548326,2565005,2580999,2596289,2610926,2624953,2638344,2651110,2663248
31,Sumatera Barat,5200936,5272513,5342822,5411828,5479473,5545687,5610839,5675335,5739124,5802148,5864368,5925719,5986189,6045738,6104348,6161999
32,Sumatera Selatan,8062726,8174111,8283732,8391468,8497173,8600740,8702603,8803187,8902379,9000071,9096188,9190588,9283112,9373748,9462433,9549166
33,Sumatera Utara,13961417,14136739,14308327,14475930,14639351,14798371,14953993,15107190,15257802,15405603,15550418,15692185,15830917,15966475,16098747,16227555
